temperature,humidity,visibility,windspeed,condition
0,71.099999999999994,68.0,9.0,6.9000000000000004,1
1,70.0,71.0,9.0,4.5999999999999996,1
2,69.099999999999994,73.0,9.0,3.5,1
3,68.0,76.0,8.0,4.5999999999999996,1
4,68.0,76.0,9.0,6.9000000000000004,1
5,66.900000000000006,76.0,9.0,3.5,1
6,66.900000000000006,76.0,8.0,4.5999999999999996,1
7,68.0,73.0,7.0,4.5999999999999996,1
8,70.0,71.0,6.0,6.9000000000000004,1
9,73.0,66.0,6.0,6.9000000000000004,1
10,73.900000000000006,66.0,7.0,3.5,1
11,77.0,60.0,7.0,6.9000000000000004,1
12,80.099999999999994,54.0,7.0,5.7999999999999998,1
13,81.0,52.0,8.0,6.9000000000000004,1
14,80.099999999999994,56.0,8.0,6.9000000000000004,1
15,79.0,58.0,8.0,6.9000000000000004,1
16,78.099999999999994,58.0,8.0,5.7999999999999998,1
17,75.900000000000006,62.0,8.0,3.5,1
18,75.0,66.0,9.0,3.5,1
19,73.0,71.0,9.0,3.5,1
20,73.0,71.0,9.0,5.7999999999999998,1
21,73.0,71.0,9.0,6.9000000000000004,1
22,73.0,68.0,9.0,8.0999999999999996,1
23,71.099999999999994,75.0,9.0,6.9000000000000004,1
