stationID,count,nearby_1,nearby_2
72,1,480,-
79,2,249,320
82,2,308,2009
83,2,3429,467
116,2,3428,470
119,0,-,-
120,2,289,364
127,1,358,-
128,1,348,-
137,2,456,3132
143,2,3242,3246
144,1,2001,-
146,2,152,276
147,2,309,152
150,2,400,302
151,2,251,303
152,2,146,147
153,2,485,3235
157,1,143,-
161,2,336,3260
164,2,228,440
167,1,518,-
168,1,435,-
173,1,500,-
174,2,2012,545
195,2,319,360
212,2,225,434
216,1,3180,-
217,0,-,-
223,2,482,284
224,2,316,387
225,2,212,405
228,2,164,440
229,2,335,3260
232,2,322,3246
236,2,438,237
237,2,236,326
238,1,346,-
239,2,324,390
241,1,262,-
242,1,419,-
243,2,298,324
244,0,-,-
245,0,-,-
247,2,346,380
248,2,377,3436
249,2,276,79
251,2,3427,151
252,2,336,369
253,2,382,280
254,2,345,383
257,2,268,2010
258,1,420,-
259,2,534,427
260,2,534,304
261,1,390,-
262,2,241,270
263,2,412,3435
264,2,360,376
265,2,473,312
266,2,411,394
267,2,362,533
268,1,257,-
270,2,262,366
274,2,3429,298
275,2,399,3049
276,2,146,249
278,0,-,-
279,0,-,-
280,2,253,3244
281,2,2006,3132
282,0,-,-
284,2,3428,3224
285,2,382,357
289,1,120,-
291,1,340,-
293,2,3263,483
295,2,412,361
296,1,308,-
297,2,475,483
298,2,243,3429
301,2,150,410
302,2,411,150
303,2,151,348
304,2,260,534
305,2,3223,3134
306,2,376,316
307,2,340,295
308,2,296,82
309,2,147,426
310,1,3402,-
311,1,350,-
312,2,265,401
313,1,343,-
315,2,337,351
316,2,376,306
317,2,393,432
319,2,417,195
320,1,79,-
321,2,407,2000
322,2,232,3246
323,1,390,-
324,2,3232,243
325,2,461,475
326,2,438,237
327,0,-,-
328,1,248,-
329,2,3436,249
330,2,387,386
331,2,295,408
332,1,502,-
334,2,435,470
335,2,229,3263
336,2,161,252
337,2,415,315
339,2,266,394
340,2,291,307
341,0,-,-
342,2,356,400
343,2,313,421
344,0,-,-
345,2,254,253
346,2,238,247
347,1,3256,-
348,2,303,128
349,2,400,356
350,2,307,311
351,2,315,264
352,1,2006,-
353,2,83,274
354,0,-,-
355,1,386,-
356,2,342,502
357,2,285,483
358,1,127,-
359,1,228,-
360,2,264,376
361,2,412,295
362,2,267,533
363,1,2008,-
364,1,120,-
365,0,-,-
366,1,270,-
367,2,2023,522
368,2,336,369
369,2,252,336
372,0,-,-
373,1,3063,-
376,2,316,306
377,2,248,2004
379,2,492,505
380,2,247,383
382,2,285,253
383,2,254,380
384,1,3049,-
385,2,441,3223
386,2,330,355
387,2,224,330
388,2,458,3258
389,2,443,460
390,2,323,239
391,1,322,-
392,1,232,-
393,2,317,150
394,2,266,339
395,1,3232,-
396,1,436,-
397,0,-,-
398,1,3407,-
399,1,275,-
400,2,349,150
401,2,473,312
402,2,444,503
405,2,225,3224
406,0,-,-
407,2,321,2000
408,2,331,2009
409,0,-,-
410,2,301,349
411,2,266,302
412,2,361,295
414,2,430,2000
415,2,337,260
416,2,353,420
417,2,319,152
418,0,-,-
419,2,242,421
420,2,258,416
421,2,419,343
422,2,513,530
423,2,447,449
426,2,276,309
427,2,534,259
428,2,439,3265
430,2,414,2000
432,2,438,445
433,2,445,511
434,2,116,212
435,2,168,334
436,1,396,-
437,1,3249,-
438,2,236,326
439,2,428,3265
440,2,164,228
441,2,385,454
442,2,446,494
443,1,389,-
444,2,402,466
445,2,432,433
446,1,442,-
447,2,469,500
448,0,-,-
449,2,423,447
450,2,447,449
453,2,470,509
454,1,441,-
455,2,516,2017
456,2,137,520
457,2,468,499
458,2,388,3258
459,1,462,-
460,2,389,481
461,2,325,2003
462,2,459,509
465,2,524,533
466,1,444,-
467,2,83,3429
468,2,457,469
469,2,500,447
470,2,453,116
471,1,3085,-
472,2,546,476
473,2,265,401
474,1,486,-
475,2,297,325
476,2,540,528
477,2,523,529
478,0,-,-
479,2,2021,3236
480,2,72,513
481,2,460,532
482,2,223,3428
483,2,357,293
484,1,524,-
485,1,153,-
486,2,474,498
487,0,-,-
488,2,529,523
490,2,3255,3230
491,1,537,-
492,2,379,505
493,1,524,-
494,2,442,3259
495,0,-,-
496,2,497,382
497,2,496,503
498,2,505,486
499,2,457,3158
500,2,469,173
501,0,-,-
502,2,332,356
503,2,402,497
504,1,2003,-
505,2,498,267
507,2,174,2012
508,0,-,-
509,2,453,462
510,0,-,-
511,1,433,-
513,2,422,480
514,0,-,-
515,2,479,3236
516,2,164,455
517,2,519,3235
518,1,167,-
519,2,517,3235
520,1,456,-
522,2,228,367
523,2,477,488
524,2,493,484
525,0,-,-
526,1,498,-
527,2,528,536
528,2,527,536
529,2,477,488
530,1,422,-
531,2,473,401
532,2,481,3078
533,2,362,267
534,2,427,260
536,2,528,2012
537,1,491,-
539,2,3085,3093
540,2,546,476
545,1,174,-
546,2,540,472
2000,2,414,430
2001,1,144,-
2002,0,-,-
2003,2,461,504
2004,2,348,377
2005,0,-,-
2006,2,281,352
2008,2,304,363
2009,2,408,308
2010,2,257,377
2012,2,174,507
2017,2,440,455
2021,2,479,529
2022,2,3142,3243
2023,2,367,3223
3002,0,-,-
3016,0,-,-
3041,1,3044,-
3042,0,-,-
3043,1,3046,-
3044,2,3041,3046
3046,2,3043,3044
3047,0,-,-
3048,0,-,-
3049,2,275,384
3050,0,-,-
3052,0,-,-
3053,2,3056,3057
3054,0,-,-
3055,1,3056,-
3056,2,3053,3055
3057,1,3053,-
3058,1,3059,-
3059,1,3058,-
3060,0,-,-
3061,0,-,-
3062,1,3063,-
3063,2,373,3062
