id,Latitude,Longitude,Target,Class1,Class2,Class3,Class4,available,total
82,40.71117416,-74.00016545,-2,23,23,23,23,0,27
150,40.7208736,-73.98085795,9,23,23,23,23,17,31
151,40.72210379,-73.99724901,6,23,23,13,23,12,33
161,40.72917025,-73.99810231,-6,23,23,23,23,0,35
229,40.72743423,-73.99379025,3,25,23,23,23,6,23
237,40.73047309,-73.98672378,-20,23,23,23,23,1,39
237,40.73047309,-73.98672378,-9,25,23,23,23,1,39
251,40.72317958,-73.99480012,7,25,23,13,23,15,27
252,40.73226398,-73.99852205,-2,23,23,23,23,0,33
263,40.6917823,-73.9737299,-2,23,23,23,23,7,24
265,40.72229346,-73.99147535,5,25,23,23,23,9,35
268,40.71910537,-73.99973337,-1,23,23,23,23,19,27
291,40.713126,-73.984844,-1,23,23,23,23,1,20
291,40.713126,-73.984844,0,25,23,23,23,1,20
301,40.72217444,-73.98368779,4,25,23,23,23,16,37
303,40.72362738,-73.99949601,13,23,23,13,23,29,31
307,40.71427487,-73.98990025,4,23,23,83,23,9,31
308,40.71307916,-73.99851193,-5,23,23,23,23,0,27
311,40.7172274,-73.98802084,-4,25,23,23,23,22,31
312,40.722055,-73.989111,-3,25,23,23,23,1,31
317,40.72453734,-73.98185424,-1,25,23,23,23,13,27
