id,Latitude,Longitude,Target,Class1,Class2,Class3,Class4,available,total
312,40.722055,-73.989111,-6,23,23,23,23,1,31
317,40.72453734,-73.98185424,-4,25,23,23,23,13,27
326,40.72953837,-73.98426726,7,23,23,23,23,18,27
335,40.72903917,-73.99404649,8,23,23,23,23,23,27
357,40.73261787,-73.99158043,4,23,23,23,23,16,27
393,40.72299208,-73.97995466,10,25,23,23,23,23,31
394,40.72521311,-73.97768752,9,25,23,23,23,21,32
2003,40.73381219,-73.98054421,6,23,23,23,23,28,39
403,40.72502876,-73.99069656,-8,25,23,23,23,6,31
410,40.72066442,-73.98517977,9,23,23,23,23,12,35
428,40.72467721,-73.98783413,-8,25,23,23,23,1,31
432,40.72621788,-73.98379855,3,23,23,23,23,9,29
433,40.72955361,-73.98057249,9,23,23,23,23,13,39
438,40.72779126,-73.98564945,-7,23,23,23,23,2,31
439,40.7262807,-73.98978041,-28,23,23,23,23,2,39
504,40.73221853,-73.98165557,15,23,23,23,23,33,45
