id,Latitude,Longitude,Target,Class1,Class2,Class3,Class4,available,total
335,40.72903917,-73.99404649,9,23,23,23,23,23,27
357,40.73261787,-73.99158043,6,23,23,23,23,16,27
393,40.72299208,-73.97995466,4,23,23,23,23,23,31
394,40.72521311,-73.97768752,3,23,23,23,23,21,32
401,40.72019576,-73.98997825,-2,23,23,23,23,13,42
403,40.72502876,-73.99069656,-3,23,23,23,23,6,31
410,40.72066442,-73.98517977,3,25,23,23,23,12,35
428,40.72467721,-73.98783413,-5,23,23,23,23,1,31
432,40.72621788,-73.98379855,3,23,23,23,23,9,29
445,40.72740794,-73.98142006,-6,23,23,23,23,26,42
473,40.72110063,-73.9919254,-3,23,23,23,23,19,38
483,40.73223272,-73.98889957,-7,23,23,23,23,0,35
504,40.73221853,-73.98165557,3,23,23,23,23,33,45
2003,40.73381219,-73.98054421,4,23,23,23,23,28,39
3244,40.73143724,-73.99490342,-3,23,23,23,23,19,31
3260,40.72706363,-73.99662137,6,23,23,23,23,8,31
3263,40.7292365,-73.99086803,-4,23,23,23,23,16,59
