id,Latitude,Longitude,Target,Class1,Class2,Class3,Class2,Class3,available,total
116,40.741776,-74.001497,20,23,0,0,23,13,30,39
116,40.741776,-74.001497,6,23,0,0,23,23,30,39
127,40.731724,-74.006744,-18,23,0,0,23,13,1,31
128,40.727103,-74.002971,1,23,23,13,23,13,19,30
161,40.72917,-73.998102,4,23,83,83,83,83,31,35
168,40.739713,-73.994564,3,23,23,23,23,23,45,47
212,40.743349,-74.006818,2,23,23,23,23,23,27,28
223,40.737815,-73.999947,-8,23,23,23,23,23,16,33
229,40.727434,-73.99379,5,23,83,83,83,83,21,23
238,40.736197,-74.008592,-10,23,23,23,23,23,6,31
247,40.735354,-74.004831,-8,23,23,23,23,23,2,20
252,40.732264,-73.998522,2,23,83,83,83,83,19,33
254,40.735324,-73.998004,5,23,23,23,23,23,25,31
280,40.73332,-73.995101,4,23,23,83,23,83,28,31
285,40.734546,-73.990741,5,23,23,23,23,23,47,51
303,40.723627,-73.999496,4,23,23,13,23,13,30,31
328,40.724055,-74.00966,-2,23,23,13,23,13,18,23
334,40.742388,-73.997262,3,23,23,83,23,83,23,31
335,40.729039,-73.994046,3,23,83,83,83,83,25,27
336,40.730477,-73.999061,-2,23,23,83,23,83,15,36
345,40.736494,-73.997044,4,23,23,23,23,23,30,35
346,40.736529,-74.00618,-6,23,23,23,23,23,0,27
347,40.728846,-74.008591,3,23,23,13,23,13,35,35
348,40.72491,-74.001547,3,23,23,13,23,13,31,34
357,40.732618,-73.99158,1,23,23,23,23,23,24,27
358,40.732916,-74.007114,-10,23,23,13,23,13,5,36
