id,Latitude,Longitude,Target,Class1,Class2,Class3,Class2,Class2,available,total
82,40.71117416,-74.00016545,-2,23,23,23,83,20,0,27
150,40.7208736,-73.98085795,9,23,23,23,23,23,17,31
151,40.72210379,-73.99724901,6,23,83,13,83,83,12,33
161,40.72917025,-73.99810231,-6,23,23,23,83,83,0,35
229,40.72743423,-73.99379025,3,23,23,23,23,23,6,23
237,40.73047309,-73.98672378,-19,23,0,0,83,23,1,39
237,40.73047309,-73.98672378,-10,23,0,0,23,23,1,39
251,40.72317958,-73.99480012,7,23,83,13,83,83,15,27
252,40.73226398,-73.99852205,-12,23,23,23,23,23,0,33
263,40.6917823,-73.9737299,-2,23,23,23,23,23,7,24
265,40.72229346,-73.99147535,5,23,23,23,23,23,9,35
268,40.71910537,-73.99973337,-1,23,23,23,83,20,19,27
291,40.713126,-73.984844,-1,23,23,23,83,83,1,20
301,40.72217444,-73.98368779,4,23,23,23,23,23,16,37
303,40.72362738,-73.99949601,19,23,83,13,83,83,29,31
307,40.71427487,-73.98990025,4,23,83,83,83,20,9,31
308,40.71307916,-73.99851193,-5,23,23,23,83,20,0,27
311,40.7172274,-73.98802084,-4,23,23,23,23,23,22,31
312,40.722055,-73.989111,-3,23,23,23,23,23,1,31
317,40.72453734,-73.98185424,-1,23,23,23,23,23,13,27
326,40.72953837,-73.98426726,6,23,23,23,23,23,18,27
336,40.73047747,-73.99906065,-18,23,83,13,83,83,0,36
340,40.71269042,-73.98776323,10,23,23,23,83,20,23,27
342,40.71739973,-73.98016555,-4,23,23,23,23,23,1,29
438,40.72779126,-73.98564945,-4,23,23,23,23,23,2,31
531,40.71893904,-73.99266288,-16,23,23,23,23,23,8,39
2009,40.71117444,-73.99682619,-4,23,23,23,83,20,2,35
3244,40.73143724,-73.99490342,9,23,23,23,23,23,19,31
3265,40.7292365,-73.99086803,6,23,23,23,23,23,16,59
3427,40.72430527,-73.99600983,6,23,83,13,83,83,18,40
3435,40.718822,-73.99596,5,23,23,23,23,23,7,45
