v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,0.0,0,0,0,-11.0,0.0
0,-1,2,40.716629,-73.982616,40.71850211,-73.98329859,0.0,6.0,6.0,0,0,0.0,6.0
0,0,1,40.72066442,-73.98517977,40.72217444,-73.98368779,11.0,11.0,2.0,0.0,2.0,5.0,0.0
0,1,-2,40.72217444,-73.98368779,40.716629,-73.982616,11.0,0.0,0,0,0,0.0,-11.0
0,2,0,40.71850211,-73.98329859,40.72066442,-73.98517977,6.0,11.0,5.0,0.0,0.0,6.0,5.0
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,23.893594177668163,4.999980037148333,0,0,0,12.893611797518261,-18.89361414051983
1,-1,10,40.716629,-73.982616,40.71926081,-73.98178024,4.999980037148333,7.999980037148333,3.0,0,0,-18.89361414051983,3.0
1,0,6,40.7284186,-73.98713956,40.72953837,-73.98426726,4.99999999999999,2.9999999999999902,-2.0,0.0,0.0,-5.0,-2.0
1,1,3,40.734232,-73.986923,40.73047309,-73.98672378,24.000000000000004,10.000000000000004,-14.0,0.0,0.0,2.0,-14.0
1,2,8,40.73047309,-73.98672378,40.73587678,-73.98205027,1.0,6.000000000000001,5.0,0.0,0.0,-18.0,5.0
1,3,12,40.73047309,-73.98672378,40.73221853,-73.98165557,10.000000000000004,20.000000000000007,10.0,0.0,0.0,-14.0,10.0
1,4,0,40.72779126,-73.98564945,40.7284186,-73.98713956,9.999999999999988,4.99999999999999,-5.0,0.0,0.0,-5.0,-5.0
1,5,1,40.73624527,-73.98473765,40.734232,-73.986923,22.000000000000007,24.000000000000004,2.0,0.0,0.0,6.0,2.0
1,6,11,40.72953837,-73.98426726,40.73221853,-73.98165557,2.9999999999999902,19.0,16.0,0.0,0.0,-2.0,16.0
1,7,4,40.72621788,-73.98379855,40.72779126,-73.98564945,14.999999999999988,9.999999999999988,-5.0,0.0,0.0,4.0,-5.0
1,8,16,40.73587678,-73.98205027,40.73381219,-73.98054421,6.000000000000001,0.0,-6.0,0.0,0.0,5.0,-6.0
1,9,7,40.72453734,-73.98185424,40.72621788,-73.98379855,10.99999999999999,14.999999999999988,4.0,0.0,0.0,3.0,4.0
1,10,9,40.71926081,-73.98178024,40.72453734,-73.98185424,7.999980037148333,10.99999999999999,3.0,0.0,0.0,3.0,3.0
1,11,2,40.73221853,-73.98165557,40.73047309,-73.98672378,19.0,1.0,-18.0,0.0,0.0,16.0,-18.0
1,12,15,40.73221853,-73.98165557,40.72955361,-73.98057249,20.000000000000007,22.00000000000001,2.0,0.0,0.0,10.0,2.0
1,13,18,40.72740794,-73.98142006,40.72299208,-73.97995466,24.000000000000007,21.000000000000007,-3.0,0.0,0.0,2.0,-3.0
1,14,-2,40.714215,-73.981346,40.716629,-73.982616,10.999982380149902,23.893594177668163,0,0,0,1.1546319456101628e-12,12.893611797518261
1,15,13,40.72955361,-73.98057249,40.72740794,-73.98142006,22.00000000000001,24.000000000000007,2.0,0.0,0.0,2.0,2.0
1,16,19,40.73381219,-73.98054421,40.73912601,-73.97973776,0.0,16.000000000000004,16.0,0.0,0.0,-6.0,16.000000000000007
1,17,14,40.71739973,-73.98016555,40.714215,-73.981346,10.999982380149902,10.999982380149902,2.0,0.0,1.9999999999988276,-9.999999999999998,1.1546319456101628e-12
1,18,17,40.72299208,-73.97995466,40.71739973,-73.98016555,21.000000000000007,10.999982380149902,-10.0,0.0,0.0,-3.0,-9.999999999999998
1,19,5,40.73912601,-73.97973776,40.73624527,-73.98473765,16.000000000000004,22.000000000000007,6.0,0.0,0.0,16.000000000000007,6.0
2,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,0.0,0,0,0,-2.9999999999999964,0.0
2,-1,3,40.716629,-73.982616,40.7208736,-73.98085795,0.0,5.0,5.0,0,0,0.0,5.0
2,0,1,40.71559509,-73.9870295,40.713126,-73.984844,8.0,2.9999999999999964,-5.0,0.0,0.0,3.0,-5.0
2,1,2,40.713126,-73.984844,40.71622644,-73.98261206,2.9999999999999964,2.9999999999999964,-3.0,0.0,3.0,-5.0,0.0
2,2,-2,40.71622644,-73.98261206,40.716629,-73.982616,2.9999999999999964,0.0,0,0,0,0.0,-2.9999999999999964
2,3,0,40.7208736,-73.98085795,40.71559509,-73.9870295,5.0,8.0,3.0,0.0,0.0,5.0,3.0
obj:,10.732796138410938
unsatisfied:,3.499999999999414
travel distance:,7.2327961384115245
clock time,303.38413977622986
