v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,3.0000000000000018,0,0,0,-19.0,3.0000000000000018
0,-1,15,40.716629,-73.982616,40.72019576,-73.98997825,3.0000000000000018,7.000000000000002,4.0,0,0,3.0000000000000018,4.0
0,0,9,40.718822,-73.99596,40.72110063,-73.9919254,19.0,19.0,2.0,0.0,2.0,3.0,0.0
0,1,2,40.73331967,-73.99510132,40.73143724,-73.99490342,19.0,17.0,-2.0,0.0,0.0,4.0,-2.0
0,2,5,40.73143724,-73.99490342,40.72903917,-73.99404649,17.0,20.0,3.0,0.0,0.0,-2.0,3.0
0,3,4,40.73971301,-73.99456405,40.73543934,-73.99453948,0.0,23.0,23.0,0.0,0.0,-18.0,23.0
0,4,8,40.73543934,-73.99453948,40.73492695,-73.99200509,23.0,21.0,-2.0,0.0,0.0,23.0,-2.0
0,5,6,40.72903917,-73.99404649,40.72743423,-73.99379025,20.0,16.0,-4.0,0.0,0.0,3.0,-4.0
0,6,0,40.72743423,-73.99379025,40.718822,-73.99596,16.0,19.0,3.0,0.0,0.0,-4.0,3.0
0,7,3,40.73726186,-73.99238967,40.73971301,-73.99456405,18.0,0.0,-18.0,0.0,0.0,2.0,-18.0
0,8,13,40.73492695,-73.99200509,40.73454567,-73.99074142,21.0,15.0,-6.0,0.0,0.0,-2.0,-6.0
0,9,-2,40.72110063,-73.9919254,40.716629,-73.982616,19.0,0.0,0,0,0,0.0,-19.0
0,10,14,40.73261787,-73.99158043,40.73704984,-73.99009296,19.0,16.0,-3.0,0.0,0.0,5.0,-3.0
0,11,12,40.7292365,-73.99086803,40.73020661,-73.99102628,10.000000000000002,14.000000000000002,4.0,0.0,0.0,3.0,4.0
0,12,10,40.73020661,-73.99102628,40.73261787,-73.99158043,14.000000000000002,19.0,5.0,0.0,0.0,4.0,5.0
0,13,1,40.73454567,-73.99074142,40.73331967,-73.99510132,15.0,19.0,4.0,0.0,0.0,-6.0,4.0
0,14,7,40.73704984,-73.99009296,40.73726186,-73.99238967,16.0,18.0,2.0,0.0,0.0,-3.0,2.0
0,15,11,40.72019576,-73.98997825,40.7292365,-73.99086803,7.000000000000002,10.000000000000002,3.0,0.0,0.0,4.0,3.0
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,21.0,0,0,0,-8.000000000000036,21.0
1,-1,9,40.716629,-73.982616,40.72229346,-73.99147535,21.0,25.0,4.0,0,0,21.0,4.0
1,0,1,40.72430527,-73.99600983,40.72317958,-73.99480012,14.000000000000014,19.000000000000018,5.0,0.0,0.0,1.0,5.0
1,1,6,40.72317958,-73.99480012,40.71893904,-73.99266288,19.000000000000018,10.000000000000021,-9.0,0.0,0.0,5.0,-9.0
1,2,0,40.73971301,-73.99456405,40.72430527,-73.99600983,13.000000000000016,14.000000000000014,1.0,0.0,0.0,-12.0,1.0
1,3,5,40.7158155,-73.99422366,40.71406667,-73.99293911,10.000000000000043,5.0000000000000355,-5.0,0.0,0.0,-6.0,-5.0
1,4,7,40.71076228,-73.99400398,40.71173107,-73.99193043,8.000000000000036,8.000000000000036,-1.0,0.0,1.0,3.0,0.0
1,5,4,40.71406667,-73.99293911,40.71076228,-73.99400398,5.0000000000000355,8.000000000000036,3.0,0.0,0.0,-5.0,3.0
1,6,8,40.71893904,-73.99266288,40.71605866,-73.99190759,10.000000000000021,16.000000000000046,6.0,0.0,0.0,-9.0,6.0
1,7,-2,40.71173107,-73.99193043,40.716629,-73.982616,8.000000000000036,0.0,0,0,0,0.0,-8.000000000000036
1,8,3,40.71605866,-73.99190759,40.7158155,-73.99422366,16.000000000000046,10.000000000000043,-6.0,0.0,0.0,6.0,-6.0
1,9,2,40.72229346,-73.99147535,40.73971301,-73.99456405,25.0,13.000000000000016,-12.0,0.0,0.0,4.0,-12.0
obj:,10.79478250570731
unsatisfied:,1.5
travel distance:,9.29478250570731
clock time,47.91839003562927
