v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,25.0,0.0,0,0,0,22.00000000000006,-25.0
0,-1,1,40.716629,-73.982616,40.727791,-73.985649,0.0,3.0000000000000044,3.0,0,0,-25.0,3.0000000000000044
0,0,-2,40.724677,-73.987834,40.716629,-73.982616,3.0000000000000044,25.0,0,0,0,0.0,22.00000000000006
0,1,0,40.727791,-73.985649,40.724677,-73.987834,3.0000000000000044,3.0000000000000044,2.0,0.0,2.0,3.0000000000000044,0.0
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,16.814917314608728,3.000000301886793,0,0,0,-7.185083117026199,-13.814917012721935
1,-1,9,40.716629,-73.982616,40.722293,-73.991475,3.000000301886793,11.000000301886793,8.0,0,0,-13.814917012721935,8.0
1,0,8,40.741776,-74.001497,40.735324,-73.998004,22.000000129748134,24.000000431634927,2.0,0.0,-3.004125135248762e-07,13.00000000000167,2.000000301886794
1,1,13,40.741776,-74.001497,40.742388,-73.997262,22.000000129719048,13.000000129719048,-9.0,0.0,0.0,13.0,-9.0
1,2,18,40.731724,-74.006744,40.732916,-74.007114,4.000000129719075,1.0000001297190728,-3.0,-1.2824479166796772e-07,0.0,4.000000129719072,-3.0
1,3,4,40.72917,-73.998102,40.72917,-73.998102,10.0,4.000000000000001,-6.0,0.0,0.0,-2.0000000754716982,-6.0
1,4,29,40.72917,-73.998102,40.727714,-74.011296,4.000000000000001,8.881784197001252e-16,-4.0,0.0,0.0,-6.0,-4.0
1,5,15,40.727434,-73.99379,40.729039,-73.994046,4.0000000754716964,1.0000000754716964,-3.0,0.0,0.0,-4.0,-3.0
1,6,16,40.735354,-74.004831,40.736529,-74.00618,4.000000129719073,9.000000129719073,5.0,0.0,0.0,3.0,5.0
1,7,5,40.72318,-73.9948,40.727434,-73.99379,8.000000075471696,4.0000000754716964,-4.0,0.0,0.0,-3.0000002264150956,-4.0
1,8,10,40.735324,-73.998004,40.73332,-73.995101,24.000000431634927,24.000000431634927,2.0,-3.004125135248762e-07,2.0,2.000000301886794,0.0
1,9,7,40.722293,-73.991475,40.72318,-73.9948,11.000000301886793,8.000000075471696,-3.0,0.0,0.0,8.0,-3.0000002264150956
1,10,-2,40.73332,-73.995101,40.716629,-73.982616,24.000000431634927,16.814917314608728,0,0,0,0.0,-7.185083117026199
1,11,12,40.734546,-73.990741,40.734232,-73.986923,11.000000075471696,16.000000075471696,5.0,0.0,0.0,4.999999999999999,4.999999999999999
1,12,14,40.734232,-73.986923,40.73223272,-73.98889957,16.000000075471696,8.000000075471696,-8.0,0.0,0.0,4.999999999999999,-8.0
1,13,20,40.742388,-73.997262,40.746647,-73.993915,13.000000129719048,16.000000129719048,3.0,0.0,0.0,-9.0,3.0
1,14,27,40.73223272,-73.98889957,40.731437,-73.994903,8.000000075471696,12.000000075471696,4.0,0.0,0.0,-8.0,4.0
1,15,17,40.729039,-73.994046,40.732618,-73.99158,1.0000000754716964,6.0000000754716964,5.0,0.0,0.0,-3.0,5.0
1,16,19,40.736529,-74.00618,40.739323,-74.008119,9.000000129719073,12.000000129719073,3.0,0.0,0.0,5.0,3.0
1,17,11,40.732618,-73.99158,40.734546,-73.990741,6.0000000754716964,11.000000075471696,5.0,0.0,0.0,5.0,4.999999999999999
1,18,6,40.732916,-74.007114,40.735354,-74.004831,1.0000001297190728,4.000000129719073,3.0,0.0,0.0,-3.0,3.0
1,19,26,40.739323,-74.008119,40.739974,-74.005139,12.000000129719073,9.000000129719073,-3.0,0.0,0.0,3.0,-3.0
1,20,23,40.746647,-73.993915,40.746201,-73.988557,16.000000129719048,7.000000129719049,-9.0,0.0,0.0,3.0,-9.0
