obj:,8.377893401995834
unsatisfied:,1.0
travel distance:,7.377893401995834
clock time,4.228749990463257
v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,7.000000000000043,0,0,0,-4.00000000000005,7.000000000000043
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,11.00000000000022,0,0,0,-11.000000000000078,11.00000000000022
1,-1,11,40.716629,-73.982616,40.713126,-73.984844,11.00000000000022,10.00000000000022,-1.0,0,0,11.00000000000022,-1.0
0,-1,16,40.716629,-73.982616,40.7172274,-73.98802084,7.000000000000043,3.0000000000000426,-4.0,0,0,7.000000000000043,-4.0
1,0,15,40.71117416,-74.00016545,40.71307916,-73.99851193,12.000000000000114,7.000000000000057,-5.0,0.0,0.0,-2.0,-5.0
0,1,-2,40.7208736,-73.98085795,40.716629,-73.982616,4.000000000000107,0.0,0,0,0,0.0,-4.00000000000005
1,1,12,40.7208736,-73.98085795,40.72217444,-73.98368779,11.000000000000078,11.000000000000078,4.0,0.0,0.0,9.0,0.0
1,2,13,40.72210379,-73.99724901,40.72362738,-73.99949601,11.999999999999993,25.0,13.0,0.0,0.0,6.0,13.0
1,3,7,40.72917025,-73.99810231,40.73226398,-73.99852205,19.000000000000007,17.000000000000007,-2.0,0.0,0.0,-6.0,-2.0
0,4,5,40.72743423,-73.99379025,40.73047309,-73.98672378,15.000000000000071,0.0,-29.0,0.0,0.0,3.0,-15.000000000000071
0,5,12,40.73047309,-73.98672378,40.72217444,-73.98368779,0.0,4.000000000000057,4.0,0.0,0.0,-15.000000000000071,4.0
1,5,18,40.73047309,-73.98672378,40.72453734,-73.98185424,3.000000000000078,2.000000000000078,-1.0,0.0,0.0,-13.999999999999929,-1.0
0,6,4,40.72317958,-73.99480012,40.72743423,-73.99379025,12.000000000000036,15.000000000000071,3.0,0.0,0.0,7.0,3.0
1,7,5,40.73226398,-73.99852205,40.73047309,-73.98672378,17.000000000000007,3.000000000000078,-29.0,0.0,0.0,-2.0,-13.999999999999929
0,9,6,40.72229346,-73.99147535,40.72317958,-73.99480012,5.0,12.000000000000036,7.0,0.0,0.0,5.0,7.0
1,10,2,40.71910537,-73.99973337,40.72210379,-73.99724901,6.000000000000021,11.999999999999993,6.0,0.0,0.0,-1.0,6.0
1,11,14,40.713126,-73.984844,40.71427487,-73.98990025,10.00000000000022,14.00000000000017,4.0,0.0,0.0,-1.0,4.0
1,12,-2,40.72217444,-73.98368779,40.716629,-73.982616,11.000000000000078,0.0,0,0,0,0.0,-11.000000000000078
0,12,1,40.72217444,-73.98368779,40.7208736,-73.98085795,4.000000000000057,4.000000000000107,9.0,0.0,0.0,4.0,0.0
1,13,3,40.72362738,-73.99949601,40.72917025,-73.99810231,25.0,19.000000000000007,-6.0,0.0,0.0,13.0,-6.0
1,14,0,40.71427487,-73.98990025,40.71117416,-74.00016545,14.00000000000017,12.000000000000114,-2.0,0.0,0.0,4.0,-2.0
1,15,10,40.71307916,-73.99851193,40.71910537,-73.99973337,7.000000000000057,6.000000000000021,-1.0,0.0,0.0,-5.0,-1.0
0,16,17,40.7172274,-73.98802084,40.722055,-73.989111,3.0000000000000426,0.0,-3.0,0.0,0.0,-4.0,-3.0
0,17,9,40.722055,-73.989111,40.72229346,-73.99147535,0.0,5.0,5.0,0.0,0.0,-3.0,5.0
1,18,1,40.72453734,-73.98185424,40.7208736,-73.98085795,2.000000000000078,11.000000000000078,9.0,0.0,0.0,-1.0,9.0
