obj:,12.982901542829072
unsatisfied:,0.0
travel distance:,12.982901542829072
clock time,15.09267520904541
v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,3.0,0,0,0,-12.0,3.0
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,13.0,0,0,0,-15.999999999999206,13.0
0,-1,0,40.716629,-73.982616,40.730473,-73.986724,3.0,12.0,9.0,0,0,3.0,9.0
1,-1,17,40.716629,-73.982616,40.733143,-73.975739,13.0,10.0,-3.0,0,0,13.0,-3.0
0,0,-2,40.730473,-73.986724,40.716629,-73.982616,12.0,0.0,0,0,0,9.0,-12.0
1,0,-2,40.730473,-73.986724,40.716629,-73.982616,15.999999999999206,0.0,0,0,0,0.0,-15.999999999999206
0,0,3,40.730473,-73.986724,40.734232,-73.986923,12.0,8.0,-4.0,0.0,0.0,9.0,-4.0
1,1,6,40.732264,-73.998522,40.730477,-73.999061,7.9999999999988844,10.999999999999206,3.0,0.0,0.0,6.0,3.0
1,2,1,40.735324,-73.998004,40.732264,-73.998522,1.9999999999992824,7.9999999999988844,6.0,0.0,0.0,-6.0,6.0
0,3,8,40.734232,-73.986923,40.734927,-73.992005,8.0,0.0,-8.0,0.0,0.0,-4.0,-8.0
1,4,10,40.736245,-73.984738,40.740343,-73.989551,0.0,4.0,4.0,0.0,0.0,-10.0,4.0
1,5,0,40.729039,-73.994046,40.730473,-73.986724,15.999999999999206,15.999999999999206,9.0,0.0,0.0,5.0,0.0
1,6,5,40.730477,-73.999061,40.729039,-73.994046,10.999999999999206,15.999999999999206,5.0,0.0,0.0,3.0,5.0
0,7,0,40.732618,-73.99158,40.730473,-73.986724,3.0,12.0,9.0,0.0,0.0,3.0,9.0
0,8,7,40.734927,-73.992005,40.732618,-73.99158,0.0,3.0,3.0,0.0,0.0,-8.0,3.0
1,9,16,40.757973,-73.966033,40.760301,-73.998842,14.999999999999659,17.99999999999966,3.0,0.0,0.0,2.0,3.0
1,10,15,40.740343,-73.989551,40.745168,-73.986831,4.0,13.0,9.0,0.0,0.0,4.0,9.0
1,11,13,40.752554,-73.972826,40.75002,-73.969053,25.0,13.0,-12.0,0.0,0.0,3.0,-12.0
1,12,2,40.744751,-73.999154,40.735324,-73.998004,7.999999999999659,1.9999999999992824,-6.0,0.0,0.0,-10.0,-6.0
1,13,9,40.75002,-73.969053,40.757973,-73.966033,13.0,14.999999999999659,2.0,0.0,0.0,-12.0,2.0
1,14,11,40.745712,-73.981948,40.752554,-73.972826,22.0,25.0,3.0,0.0,0.0,3.0,3.0
1,15,18,40.745168,-73.986831,40.748549,-73.988084,13.0,19.0,6.0,0.0,0.0,9.0,6.0
1,16,12,40.760301,-73.998842,40.744751,-73.999154,17.99999999999966,7.999999999999659,-10.0,0.0,0.0,3.0,-10.0
1,17,4,40.733143,-73.975739,40.736245,-73.984738,10.0,0.0,-10.0,0.0,0.0,-3.0,-10.0
1,18,14,40.748549,-73.988084,40.745712,-73.981948,19.0,22.0,3.0,0.0,0.0,6.0,3.0
