obj:,14.328651544040676
unsatisfied:,9.000000000000915
travel distance:,5.3286515440397615
clock time,0.7509098052978516
v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,10.99999999998656,0,0,0,-11.000000000002693,10.99999999998656
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,0.0,0,0,0,-10.99999999999902,0.0
1,-1,0,40.716629,-73.982616,40.7208736,-73.98085795,0.0,12.999999999999972,13.0,0,0,0.0,13.0
0,-1,10,40.716629,-73.982616,40.72082834,-73.97793172,10.99999999998656,17.99999999998656,7.0,0,0,10.99999999998656,7.0
1,0,9,40.7208736,-73.98085795,40.72217444,-73.98368779,12.999999999999972,18.99999999998679,6.0,0.0,0.0,13.0,6.0
0,1,4,40.72743423,-73.99379025,40.72317958,-73.99480012,12.000000000002295,15.000000000002295,3.0,0.0,0.0,-11.000000000000002,3.0
1,2,-2,40.72621788,-73.98379855,40.716629,-73.982616,10.999999999999023,0.0,0,0,0,0.0,-10.99999999999902
0,3,13,40.72955361,-73.98057249,40.72953837,-73.98426726,20.9999999999981,24.999999999997716,4.0,0.0,0.0,3.0,3.9999999999996154
0,4,5,40.72317958,-73.99480012,40.72229346,-73.99147535,15.000000000002295,11.000000000002295,-4.0,0.0,0.0,3.0,-4.0
0,5,11,40.72229346,-73.99147535,40.722055,-73.989111,11.000000000002295,11.000000000002693,6.0,0.0,5.999999999999545,-4.0,1.9895196601282805e-13
0,6,14,40.73331967,-73.99510132,40.72903917,-73.99404649,17.0000000000023,23.000000000002295,6.0,0.0,0.0,-3.0,5.999999999999997
0,7,8,40.73454567,-73.99074142,40.734232,-73.986923,0.0,20.0000000000023,20.0,9.000000000002284,0.0,-24.999999999997716,19.999999999999993
0,8,6,40.734232,-73.986923,40.73331967,-73.99510132,20.0000000000023,17.0000000000023,-3.0,0.0,0.0,19.999999999999993,-3.0
1,9,12,40.72217444,-73.98368779,40.72453734,-73.98185424,18.99999999998679,10.999999999999055,-8.0,0.0,0.0,6.0,-8.000000000005768
0,10,3,40.72082834,-73.97793172,40.72955361,-73.98057249,17.99999999998656,20.9999999999981,3.0,0.0,0.0,7.0,3.0
0,11,-2,40.722055,-73.989111,40.716629,-73.982616,11.000000000002693,0.0,0,0,0,1.9895196601282805e-13,-11.000000000002693
1,12,2,40.72453734,-73.98185424,40.72621788,-73.98379855,10.999999999999055,10.999999999999023,3.0,0.0,3.0,-8.000000000005768,0.0
0,13,7,40.72953837,-73.98426726,40.73454567,-73.99074142,24.999999999997716,0.0,-34.0,0.0,9.000000000002284,3.9999999999996154,-24.999999999997716
0,14,1,40.72903917,-73.99404649,40.72743423,-73.99379025,23.000000000002295,12.000000000002295,-11.0,0.0,0.0,5.999999999999997,-11.000000000000002
