obj:,11.091786308353194
unsatisfied:,5.0
travel distance:,6.0917863083531945
clock time,17.048757791519165
v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,14.000000000000032,0,0,0,-18.0,14.000000000000032
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,6.0000000000041975,0,0,0,-25.0,6.000000000004199
1,-1,5,40.716629,-73.982616,40.72299208,-73.97995466,6.0000000000041975,16.00000000000307,10.0,0,0,6.000000000004199,9.999999999998872
0,-1,9,40.716629,-73.982616,40.72066442,-73.98517977,14.000000000000032,23.000000000000032,9.0,0,0,14.000000000000032,9.0
0,0,8,40.722055,-73.989111,40.72502876,-73.99069656,17.000000000000032,9.000000000000032,-8.0,0.0,0.0,-6.0,-8.0
1,1,-2,40.72453734,-73.98185424,40.716629,-73.982616,25.0,0.0,0,0,0,0.0,-25.0
0,2,13,40.72953837,-73.98426726,40.72779126,-73.98564945,25.0,18.0,-7.0,0.0,0.0,7.0,-7.0
0,3,4,40.72903917,-73.99404649,40.73261787,-73.99158043,8.0,12.0,4.0,0.0,0.0,8.0,4.0
0,4,7,40.73261787,-73.99158043,40.73381219,-73.98054421,12.0,18.0,6.0,0.0,0.0,4.0,6.0
1,5,6,40.72299208,-73.97995466,40.72521311,-73.97768752,16.00000000000307,25.0,9.0,0.0,0.0,9.999999999998872,8.999999999996929
1,6,1,40.72521311,-73.97768752,40.72453734,-73.98185424,25.0,25.0,-4.0,0.0,4.0,8.999999999996929,0.0
0,7,2,40.73381219,-73.98054421,40.72953837,-73.98426726,18.0,25.0,7.0,0.0,0.0,6.0,7.0
0,8,10,40.72502876,-73.99069656,40.72467721,-73.98783413,9.000000000000032,1.000000000000032,-8.0,0.0,0.0,-8.0,-8.0
0,9,0,40.72066442,-73.98517977,40.722055,-73.989111,23.000000000000032,17.000000000000032,-6.0,0.0,0.0,9.0,-6.0
0,10,12,40.72467721,-73.98783413,40.72955361,-73.98057249,1.000000000000032,10.000000000000032,9.0,0.0,0.0,-8.0,9.0
0,11,-2,40.72621788,-73.98379855,40.716629,-73.982616,18.0,0.0,0,0,0,0.0,-18.0
0,12,15,40.72955361,-73.98057249,40.73221853,-73.98165557,10.000000000000032,25.0,15.0,0.0,0.0,9.0,15.0
0,13,11,40.72779126,-73.98564945,40.72621788,-73.98379855,18.0,18.0,3.0,0.0,3.0,-7.0,0.0
0,14,3,40.7262807,-73.98978041,40.72903917,-73.99404649,0.0,8.0,8.0,3.0,0.0,-25.0,8.0
0,15,14,40.73221853,-73.98165557,40.7262807,-73.98978041,25.0,0.0,-28.0,0.0,3.0,15.0,-25.0
