obj:,8.065573227548711
unsatisfied:,1.9999999999999984
travel distance:,6.065573227548713
clock time,5.1311187744140625
v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,5.0,0,0,0,-2.999999999999993,5.0
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,7.999999714285838,0,0,0,-2.999999999999983,7.999999714285838
0,-1,11,40.716629,-73.982616,40.71406667,-73.99293911,5.0,0.0,-5.0,0,0,5.0,-5.0000000000000036
1,-1,17,40.716629,-73.982616,40.71605866,-73.99190759,7.999999714285838,13.999999714285849,6.0,0,0,7.999999714285838,6.0
1,0,-2,40.72430527,-73.99600983,40.716629,-73.982616,2.9999999999999893,0.0,0,0,0,0.0,-2.999999999999983
1,1,12,40.718822,-73.99596,40.71893904,-73.99266288,10.999999999999945,1.9999999999999916,-9.0,0.0,0.0,3.0000009999992336,-9.0
1,2,6,40.73331967,-73.99510132,40.73543934,-73.99453948,7.0,25.0,18.0,0.0,0.0,4.0,18.0
1,3,2,40.73143724,-73.99490342,40.73331967,-73.99510132,3.0,7.0,4.0,0.0,0.0,-2.0,4.0
1,4,10,40.72317958,-73.99480012,40.72743423,-73.99379025,8.999999999999993,5.0,-4.0,0.0,0.0,5.0,-4.0
1,5,13,40.73971301,-73.99456405,40.73726186,-73.99238967,0.0,2.0,2.0,2.0,0.0,-25.0,2.0
1,6,5,40.73543934,-73.99453948,40.73971301,-73.99456405,25.0,0.0,-27.0,0.0,2.0,18.0,-25.0
1,7,1,40.7158155,-73.99422366,40.718822,-73.99596,7.999999714285874,10.999999999999945,3.0,0.0,0.0,-6.000000000000002,3.0000009999992336
1,8,0,40.72903917,-73.99404649,40.72430527,-73.99600983,2.999999999999986,2.9999999999999893,1.0,0.0,1.0,3.0,0.0
0,9,15,40.71076228,-73.99400398,40.71173107,-73.99193043,2.9999999999999964,3.0000000000000036,-1.0,0.0,0.9999999999999969,3.0,0.0
1,10,3,40.72743423,-73.99379025,40.73143724,-73.99490342,5.0,3.0,-2.0,0.0,0.0,-4.0,-2.0
0,11,9,40.71406667,-73.99293911,40.71076228,-73.99400398,0.0,2.9999999999999964,3.0,0.0,0.0,-5.0000000000000036,3.0
1,12,16,40.71893904,-73.99266288,40.72110063,-73.9919254,1.9999999999999916,3.9999999999999907,2.0,0.0,0.0,-9.0,2.0000000000000013
1,13,14,40.73726186,-73.99238967,40.73492695,-73.99200509,2.0,0.0,-2.0,0.0,0.0,2.0,-2.0
1,14,8,40.73492695,-73.99200509,40.72903917,-73.99404649,0.0,2.999999999999986,3.0,0.0,0.0,-2.0,3.0
0,15,-2,40.71173107,-73.99193043,40.716629,-73.982616,3.0000000000000036,0.0,0,0,0,0.0,-2.999999999999993
1,16,4,40.72110063,-73.9919254,40.72317958,-73.99480012,3.9999999999999907,8.999999999999993,5.0,0.0,0.0,2.0000000000000013,5.0
1,17,7,40.71605866,-73.99190759,40.7158155,-73.99422366,13.999999714285849,7.999999714285874,-6.0,0.0,0.0,6.0,-6.000000000000002
