v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,20.0,0,0,0,-6.0,20.0
0,-1,12,40.716629,-73.982616,40.72110063,-73.9919254,20.0,17.0,-3.0,0,0,20.0,-3.0
0,0,5,40.72453734,-73.98185424,40.72066442,-73.98517977,6.0,6.0,1.0,0.0,1.0,-4.0,0.0
0,1,8,40.72953837,-73.98426726,40.72955361,-73.98057249,7.0,16.0,9.0,0.0,0.0,7.0,9.0
0,2,10,40.72903917,-73.99404649,40.7262807,-73.98978041,19.00000000000001,7.0,-12.0,0.0,0.0,8.0,-12.0
0,3,2,40.73261787,-73.99158043,40.72903917,-73.99404649,11.00000000000001,19.00000000000001,8.0,0.0,0.0,4.0,8.0
0,4,6,40.72502876,-73.99069656,40.72467721,-73.98783413,9.0,1.0,-8.0,0.0,0.0,-8.0,-8.0
0,5,-2,40.72066442,-73.98517977,40.716629,-73.982616,6.0,0.0,0,0,0,0.0,-6.0
0,6,7,40.72467721,-73.98783413,40.72621788,-73.98379855,1.0,4.0,3.0,0.0,0.0,-8.0,3.0
0,7,14,40.72621788,-73.98379855,40.73221853,-73.98165557,4.0,17.0,13.0,0.0,0.0,3.0,13.0
0,8,11,40.72955361,-73.98057249,40.72740794,-73.98142006,16.0,10.0,-6.0,0.0,0.0,9.0,-6.0
0,9,1,40.72779126,-73.98564945,40.72953837,-73.98426726,0.0,7.0,7.0,0.0,0.0,-7.0,7.0
0,10,9,40.7262807,-73.98978041,40.72779126,-73.98564945,7.0,0.0,-7.0,0.0,0.0,-12.0,-7.0
0,11,0,40.72740794,-73.98142006,40.72453734,-73.98185424,10.0,6.0,-4.0,0.0,0.0,-6.0,-4.0
0,12,4,40.72110063,-73.9919254,40.72502876,-73.99069656,17.0,9.0,-8.0,0.0,0.0,-3.0,-8.0
0,13,3,40.73223272,-73.98889957,40.73261787,-73.99158043,7.000000000000011,11.00000000000001,4.0,0.0,0.0,-18.0,4.0
0,14,15,40.73221853,-73.98165557,40.73381219,-73.98054421,17.0,25.0,8.0,0.0,0.0,13.0,8.0
0,15,13,40.73381219,-73.98054421,40.73223272,-73.98889957,25.0,7.000000000000011,-18.0,0.0,0.0,8.0,-18.0
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,7.0,0,0,0,0.0,7.0
1,-1,2,40.716629,-73.982616,40.72066442,-73.98517977,7.0,12.0,5.0,0,0,7.0,5.0
1,0,3,40.722055,-73.989111,40.7262807,-73.98978041,6.0,0.0,-6.0,0.0,0.0,-6.0,-6.0
1,1,-2,40.72453734,-73.98185424,40.716629,-73.982616,0.0,0.0,0,0,0,0.0,0.0
1,2,0,40.72066442,-73.98517977,40.722055,-73.989111,12.0,6.0,-6.0,0.0,0.0,5.0,-6.0
1,3,1,40.7262807,-73.98978041,40.72453734,-73.98185424,0.0,0.0,0.0,0.0,0.0,-6.0,0.0
obj:,6.83510408621498
unsatisfied:,0.5
travel distance:,6.33510408621498
clock time,2.1997230052948
