v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,10.000000000000018,0,0,0,0.0,10.000000000000018
0,-1,5,40.716629,-73.982616,40.72082834,-73.97793172,10.000000000000018,17.00000000000002,7.0,0,0,10.000000000000018,7.0
0,0,2,40.72743423,-73.99379025,40.72317958,-73.99480012,0.0,2.9999999999999996,3.0,0.0,0.0,-11.0,3.0
0,1,7,40.72621788,-73.98379855,40.72953837,-73.98426726,20.00000000000003,24.00000000000003,4.0,0.0,0.0,3.0,4.0
0,2,9,40.72317958,-73.99480012,40.72110063,-73.9919254,2.9999999999999996,0.0,-3.0,0.0,0.0,3.0,-3.0
0,3,8,40.73331967,-73.99510132,40.72903917,-73.99404649,5.0,11.0,6.0,0.0,0.0,-3.0,6.0
0,4,3,40.73454567,-73.99074142,40.73331967,-73.99510132,8.0,5.0,-3.0,0.0,0.0,-9.0,-3.0
0,5,1,40.72082834,-73.97793172,40.72621788,-73.98379855,17.00000000000002,20.00000000000003,3.0,0.0,0.0,7.0,3.0
0,6,-2,40.722055,-73.989111,40.716629,-73.982616,0.0,0.0,0,0,0,0.0,0.0
0,7,10,40.72953837,-73.98426726,40.73223272,-73.98889957,24.00000000000003,17.000000000000014,-7.0,0.0,0.0,4.0,-7.0
0,8,0,40.72903917,-73.99404649,40.72743423,-73.99379025,11.0,0.0,-11.0,0.0,0.0,6.0,-11.0
0,9,6,40.72110063,-73.9919254,40.722055,-73.989111,0.0,0.0,1.0,0.0,1.0,-3.0,0.0
0,10,4,40.73223272,-73.98889957,40.73454567,-73.99074142,17.000000000000014,8.0,-9.0,0.0,0.0,-7.0,-9.0
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,1.9999999999999982,0,0,0,-10.999999999999998,1.9999999999999982
1,-1,0,40.716629,-73.982616,40.7208736,-73.98085795,1.9999999999999982,14.999999999999998,13.0,0,0,1.9999999999999982,13.0
1,0,5,40.7208736,-73.98085795,40.72217444,-73.98368779,14.999999999999998,21.0,6.0,0.0,0.0,13.0,6.0
1,1,7,40.72955361,-73.98057249,40.72453734,-73.98185424,23.0,15.0,-8.0,0.0,0.0,3.0,-8.0
1,2,6,40.72229346,-73.99147535,40.722055,-73.989111,11.0,10.999999999999998,5.0,0.0,5.0,-4.0,0.0
1,3,4,40.73454567,-73.99074142,40.734232,-73.986923,0.0,20.0,20.0,0.0,0.0,-24.999999999999996,20.0
1,4,1,40.734232,-73.986923,40.72955361,-73.98057249,20.0,23.0,3.0,0.0,0.0,20.0,3.0
1,5,8,40.72217444,-73.98368779,40.73261787,-73.99158043,21.0,25.0,4.0,0.0,0.0,6.0,4.0
1,6,-2,40.722055,-73.989111,40.716629,-73.982616,10.999999999999998,0.0,0,0,0,0.0,-10.999999999999998
1,7,2,40.72453734,-73.98185424,40.72229346,-73.99147535,15.0,11.0,-4.0,0.0,0.0,-8.0,-4.0
1,8,3,40.73261787,-73.99158043,40.73454567,-73.99074142,25.0,0.0,-25.0,0.0,0.0,4.0,-24.999999999999996
obj:,10.047011291968127
unsatisfied:,3.0
travel distance:,7.047011291968127
clock time,0.09725284576416016
