v,i,j,Laitude1,Longitude1,Latitude2,Longitude2,yvi,yvj,targetj,Ui,Uj,svi,svj
0,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,0.0,0,0,0,-4.999999999999989,0.0
0,-1,12,40.716629,-73.982616,40.71605866,-73.99190759,0.0,6.0,6.0,0,0,0.0,6.0
0,0,-2,40.72430527,-73.99600983,40.716629,-73.982616,4.999999999999989,0.0,0,0,0,0.0,-4.999999999999989
0,1,2,40.73331967,-73.99510132,40.73143724,-73.99490342,4.0,2.0,-2.0,0.0,0.0,4.0,-2.0
0,2,7,40.73143724,-73.99490342,40.72903917,-73.99404649,2.0,5.0,3.0,0.0,0.0,-2.0,3.0
0,3,8,40.72317958,-73.99480012,40.72743423,-73.99379025,13.0,9.0,-4.0,0.0,0.0,5.0,-4.0
0,4,9,40.73971301,-73.99456405,40.73726186,-73.99238967,7.0000000000000036,9.000000000000004,2.0,0.0,0.0,-18.0,2.0
0,5,1,40.73971301,-73.99456405,40.73331967,-73.99510132,0.0,4.0,4.0,0.0,0.0,-9.0,4.0
0,6,4,40.73543934,-73.99453948,40.73971301,-73.99456405,25.000000000000004,7.0000000000000036,-18.0,0.0,0.0,18.0,-18.0
0,7,0,40.72903917,-73.99404649,40.72430527,-73.99600983,5.0,4.999999999999989,1.0,0.0,1.0,3.0,0.0
0,8,10,40.72743423,-73.99379025,40.73492695,-73.99200509,9.0,7.000000000000007,-2.0,0.0,0.0,-4.0,-2.0
0,9,5,40.73726186,-73.99238967,40.73971301,-73.99456405,9.000000000000004,0.0,-9.0,0.0,0.0,2.0,-9.0
0,10,6,40.73492695,-73.99200509,40.73543934,-73.99453948,7.000000000000007,25.000000000000004,18.0,0.0,0.0,-2.0,18.0
0,11,3,40.72110063,-73.9919254,40.72317958,-73.99480012,8.0,13.0,5.0,0.0,0.0,2.0,5.0
0,12,11,40.71605866,-73.99190759,40.72110063,-73.9919254,6.0,8.0,2.0,0.0,0.0,6.0,2.0
1,-2,-1,40.716629,-73.982616,40.716629,-73.982616,0.0,16.999999999999986,0,0,0,-3.0,16.999999999999986
1,-1,4,40.716629,-73.982616,40.71893904,-73.99266288,16.999999999999986,7.999999999999993,-9.0,0,0,16.999999999999986,-9.0
1,0,1,40.718822,-73.99596,40.7158155,-73.99422366,11.0,5.000000000000002,-6.0,0.0,0.0,3.0,-6.0
1,1,3,40.7158155,-73.99422366,40.71406667,-73.99293911,5.000000000000002,0.0,-5.0,0.0,0.0,-6.0,-5.0
1,2,5,40.71076228,-73.99400398,40.71173107,-73.99193043,3.0,3.0,-1.0,0.0,1.0,3.0,0.0
1,3,2,40.71406667,-73.99293911,40.71076228,-73.99400398,0.0,3.0,3.0,0.0,0.0,-5.0,3.0
1,4,0,40.71893904,-73.99266288,40.718822,-73.99596,7.999999999999993,11.0,3.0,0.0,0.0,-9.0,3.0
1,5,-2,40.71173107,-73.99193043,40.716629,-73.982616,3.0,0.0,0,0,0,0.0,-3.0
obj:,7.723189570899409
unsatisfied:,1.0
travel distance:,6.723189570899409
clock time,0.7226901054382324
